date,stem diameter (mm),plant height (cm),petiole length (cm),leaf length (cm),leaf width (cm),node count main,node count aux1,node count aux2,leaf fresh weight main (g),leaf fresh weight aux1 (g),leaf fresh weight aux2 (g),stem fresh weight main (g),stem fresh weight aux1 (g),stem fresh weight aux2 (g),fruit fresh weight aux1 (g),fruit fresh weight aux2 (g),harvest count 1,harvest count 2,stem dry weight main (g),stem dry weight aux1 (g),stem dry weight aux2 (g),fruit dry weight 1 (g),fruit dry weight 2 (g),DAP (d),leaf_count,flower_count,fruit_count,leaf_drymass (g),leaf_area (mm^2)
2021-09-27,13.379999999999999,108.3,12.222222222222221,34.27777777777778,16.044444444444444,8.11111111111111,9.444444444444445,8.222222222222221,67.77777777777777,80.55555555555556,83.33333333333333,43,68,70.44444444444444,82.5,90.6,0,0,6.510000000000001,6.160000000000001,6.450000000000001,6.1000000000000005,4.014285714285715,88,39,2.5,5.928571428571429,33.84,5298.616
2021-10-19,10.172,107.1,14.55,27.869999999999997,13.75,0,0,0,64.6,84.7,88.1,41,71.3,74.8,376.7,359.5,0,0,7.039999999999999,8.229999999999999,8.72,16.21,16.410000000000004,110,44.8,7.3,5.199999999999999,28.940000000000005,5871.619
2021-11-03,12.231999999999998,161.77,13.430000000000001,30.589999999999996,14.95,8.1,13.2,13.2,62.7,120.5,105.5,46.5,88.6,96.2,408.4,351.7,0,0,8.07,11.2,11.040000000000001,17.59,15.1,125,53.9,8.3,5.5,35.83,6655.987999999999
2021-11-16,12.394,157.1,15.76,31.360000000000003,15.13,8.5,16.2,15.5,69.4,125.6,117.3,50.9,100.8,91.7,425.1,302.1,1.2,1.6,10.72,14.520000000000001,13.14,16.630000000000003,9.16,138,63.6,5.2,5.7,35.019999999999996,7138.749
2021-12-02,12.7,179.86,14.689999999999998,32.19,18.419999999999998,8.4,18.5,18.1,52.8,146.8,159.8,36,100,107.3,329.1,279.1,3,2,11.099999999999998,18.88,18.21,16.71,15.439999999999998,154,73.9,4.4,3.8,45,9229.757
2021-12-15,10.701,201.94,16.700000000000003,37.44,17.18,8.8,19.6,19.7,74,155.5,175,57.5,135,132.5,330.5,354,2.3,2.5,9.559000000000001,12.544999999999998,11.992,10.8,12.959999999999999,167,77.80000000000001,4.6,4,44.95,9451.349999999999
2021-12-29,12.481,209.88000000000002,13.160000000000002,31.339999999999996,14.41,8.3,21.4,21.8,0,171.6,172.2,60.8,134.2,151,145.8,172.4,3.9,4.3,11.98,19.9,22.479999999999997,11.900000000000002,11.475000000000001,181,75.3,5.2,2,39.040000000000006,8357.278
2022-01-19,12.23,234.6,12.55,29.04,13.310000000000002,8.5,23,23.3,0,162.2,144.3,65.6,143.5,143.8,244.1,156.1,5,3.8,13.1,22.810000000000002,23.219999999999995,16.144444444444446,11.912500000000001,202,80.4,3.6,3.1,37.239999999999995,7867.1939999999995
2022-02-16,11.927000000000001,254.3,13.419999999999998,30.15,14,8.3,25.4,25.8,0,165.9,164.9,68.5,155.8,169.4,433.5,284,4.6,5.4,15.579999999999998,26.839999999999996,30.209999999999997,25.837500000000002,24.337500000000002,230,91.19999999999999,4.1,4.5,40.379999999999995,8523.728
2022-03-03,10.606,243.98000000000002,11.5,29,13.319999999999999,7.9,27.9,27.1,0,166.1,175,67.9,162.4,149.7,395.6,308.4,4.9,5.3,15.270000000000001,29.57,27.130000000000003,25.155555555555555,20.311111111111114,245,95.2,3.9,4.1,51.260000000000005,8569.09
2022-03-15,11.187000000000001,257.68,12.05,28.85,13.73,8.3,25.3,25.9,0,162.5,179.7,68.7,169.8,155.8,345.5,175.2,5.3,6,16.3,32.480000000000004,29.660000000000004,20.110000000000003,9.79,257,88.1,4.1,3.3,47.66,8424.897
2022-03-28,10.921999999999999,261.07000000000005,13.75,27.85,13.2,8.4,33.5,28.1,0,198,168.1,68.8,208.1,153.2,251.3,120.7,7.1,6.5,16.96,41.4,28.53,19.437499999999996,17.475,270,97.3,2.1,2.3,53.949999999999996,8679.044999999998
2022-04-12,11.901999999999997,317.21,10.7,27.9,12.3,7.7,34.6,30.3,0,203.9,165.6,64,200.2,172.7,306.5,201.5,6.9,6.8,15.549999999999997,47.81,35.45,22.24285714285714,19.06,285,98.8,4.4,2.2,60.709999999999994,9817.294000000002
2022-04-26,11.803,285.74,10.9,25.2,11.85,7.9,34,25.9,0,204.6,141.7,59.4,192.6,130.5,168.7,127,7.4,5.8,13.540000000000003,36.07000000000001,23.08,19.116666666666667,16.3,299,97.9,3.6,1.9000000000000001,52.36,8851.712
2022-05-11,12.794999999999998,316.72,11.2,25.85,11.95,8.3,40.1,35.5,0,243.7,221.9,77.7,274.3,221.7,94.6,36.2,8.3,7.4,16.240000000000002,51.04,39.029999999999994,12.2,11.85,314,119.7,4.300000000000001,0.7,70.93,10650.925
2022-05-31,11.584000000000003,353.34000000000003,9.4,24.7,12,8.6,43,37.2,0,278.5,228.4,65.2,268.9,197.6,287,130.9,9.7,8.5,17.229999999999997,60.21,41.32,19.488888888888887,14.149999999999999,334,135.60000000000002,4.8,2.8,76.53,11613.001
2022-06-21,12.611,339.76000000000005,10.3,22.15,11.15,8.1,40.5,38.6,0,224.3,189.1,88.1,302.3,265.7,194,104.6,9.7,9,15.34,54.769999999999996,45.57,16.633333333333333,13.2,355,125.3,1.1,1.6,59.88999999999999,9926.689999999999
